huc,gage,LAT,LONG,PUB_ID
1,01013500,47.23739,-68.58264,8
1,01022500,44.60797,-67.93524,2
1,01030500,45.50097,-68.30596,1
1,01031500,45.17501,-69.3147,6
1,01047000,44.8692,-69.9551,8
1,01052500,44.87739,-71.05749,7
1,01054200,44.39044,-70.97964,9
1,01055000,44.64275,-70.58878,2
1,01057000,44.30399,-70.53968,2
1,01073000,43.1487,-70.96506,9
1,01078000,43.56646,-71.74786,2
1,01118300,41.47482,-71.83424,9
1,01121000,41.84371,-72.16897,10
1,01123000,41.67177,-72.0523,4
1,01134500,44.51172,-71.83731,3
1,01137500,44.26867,-71.63036,5
1,01139000,44.15034,-72.06509,9
1,01139800,44.09284,-72.33565,10
1,01142500,43.93451,-72.65788,8
1,01144000,43.71424,-72.41815,8
1,01162500,42.68259,-72.11508,7
1,01169000,42.63842,-72.72509,10
1,01170100,42.70342,-72.67065,5
1,01181000,42.23731,-72.89565,6
1,01187300,42.03732,-72.93899,1
1,01195100,41.30593,-72.5312,7
2,01333000,42.70897,-73.19677,2
2,01350000,42.31953,-74.43654,6
2,01350080,42.37703,-74.41292,3
2,01350140,42.42897,-74.47293,3
2,01365000,41.86648,-74.4871,5
2,01411300,39.30694,-74.82056,2
2,01413500,42.14481,-74.65349,8
2,01414500,42.1062,-74.73043,8
2,01415000,42.12009,-74.81849,10
2,01423000,42.1662,-75.13989,7
2,01434025,41.99537,-74.50099,6
2,01435000,41.89009,-74.58988,5
2,01439500,41.08815,-75.03767,10
2,01440000,41.10667,-74.95222,1
2,01440400,41.08481,-75.21462,1
2,01451800,40.66176,-75.62685,10
2,01466500,39.885,-74.50528,4
2,01484100,38.90578,-75.51275,2
2,01485500,38.22892,-75.47144,6
2,01486000,38.21389,-75.67139,5
2,01487000,38.72833,-75.56186,6
2,01491000,38.99719,-75.78581,5
2,01510000,42.54118,-75.89964,8
2,01516500,41.79091,-77.01469,10
2,01518862,41.92313,-77.53193,10
2,01532000,41.70702,-76.48467,4
2,01539000,41.07814,-76.43106,10
2,01542810,41.57895,-78.29251,6
2,01543000,41.4134,-78.19695,6
2,01543500,41.31728,-78.10306,2
2,01544500,41.4759,-77.82582,6
2,01545600,41.38951,-77.69082,9
2,01547700,41.05951,-77.60583,7
2,01548500,41.52174,-77.44748,2
2,01549500,41.47368,-77.23081,7
2,01550000,41.41841,-77.03275,7
2,01552000,41.32508,-76.91246,5
2,01552500,41.35702,-76.53467,7
2,01557500,40.68367,-78.23362,2
2,01567500,40.37092,-77.40221,2
2,01568000,40.32342,-77.16887,1
2,01580000,39.62997,-76.40331,9
2,01583500,39.51078,-76.6765,4
2,01586610,39.45189,-76.95531,10
2,01591400,39.25597,-77.05106,2
2,01594950,39.27669,-79.39031,7
2,01596500,39.57006,-79.10194,1
2,01605500,38.63567,-79.33782,9
2,01606500,38.99122,-79.17587,8
2,01613050,39.89842,-78.13223,2
2,01620500,38.33763,-79.24004,5
2,01632000,38.63706,-78.8528,8
2,01632900,38.69345,-78.64279,8
2,01634500,39.08122,-78.32945,8
2,01638480,39.25455,-77.57638,10
2,01639500,39.61236,-77.23744,5
2,01644000,39.01955,-77.57749,4
2,01658500,38.58734,-77.4286,5
2,01664000,38.53068,-77.8136,6
2,01666500,38.32513,-78.09556,4
2,01667500,38.35041,-77.975,2
2,01669000,37.87708,-76.90052,9
2,01669520,37.63375,-76.69635,9
2,02011400,38.04235,-79.88144,9
2,02011460,38.2454,-79.76866,6
2,02013000,37.8029,-80.047,2
2,02014000,37.72901,-80.04228,2
2,02015700,38.1954,-79.57032,3
2,02016000,37.7918,-79.75949,8
2,02017500,37.50624,-80.10671,8
2,02018000,37.66596,-79.91144,4
2,02027000,37.71542,-78.98169,4
2,02027500,37.70236,-79.02752,9
2,02028500,37.86959,-78.82335,2
2,02038850,37.41542,-78.63584,2
3,02046000,37.06709,-77.60249,2
3,02051000,36.99737,-78.34972,2
3,02051500,36.71681,-77.83166,5
3,02053200,36.37083,-77.02556,3
3,02053800,37.14013,-80.26643,5
3,02055100,37.41763,-79.93532,8
3,02056900,37.04514,-79.8442,6
3,02059500,37.1732,-79.52031,9
3,02064000,37.12681,-78.95974,8
3,02065500,37.07931,-78.76362,5
3,02069700,36.57097,-80.12949,1
3,02070000,36.56819,-79.98726,6
3,02074500,36.61958,-79.50419,2
3,02077200,36.39778,-79.19667,9
3,02081500,36.19417,-78.58306,7
3,02082950,36.18333,-77.87611,4
3,02092500,35.06417,-77.46139,6
3,02096846,35.98722,-79.20611,1
3,02102908,35.18278,-79.1775,7
3,02108000,34.82889,-77.83222,1
3,02111180,36.07139,-81.40306,9
3,02111500,36.175,-81.16889,5
3,02112120,36.25028,-81.04444,8
3,02112360,36.31139,-80.80722,8
3,02118500,36.00056,-80.74556,7
3,02125000,35.33472,-80.33556,9
3,02128000,35.38722,-79.83139,4
3,02137727,35.68583,-82.06028,3
3,02140991,35.83361,-81.71194,3
3,02143000,35.68444,-81.40333,10
3,02143040,35.59069,-81.56704,6
3,02149000,35.42345,-82.1115,2
3,02152100,35.49306,-81.68222,6
3,02177000,34.81398,-83.30599,6
3,02178400,34.89037,-83.53044,9
3,02193340,33.68263,-82.85792,10
3,02196000,33.7293,-82.18179,1
3,02198100,32.93766,-81.81539,3
3,02202600,32.16798,-81.48817,9
3,02212600,33.09985,-83.72351,6
3,02215100,32.23944,-83.50167,4
3,02216180,31.99139,-82.92194,2
3,02221525,33.25236,-83.48128,5
3,02231000,30.35885,-82.0815,1
3,02231342,27.56865,-80.79617,5
3,02235200,28.87453,-81.48938,6
3,02245500,29.97941,-81.85204,5
3,02246000,30.1133,-81.90649,7
3,02296500,27.37504,-81.79647,8
3,02297155,27.48726,-82.02342,9
3,02297310,27.19949,-81.98842,1
3,02298123,27.052,-81.78453,2
3,02298608,27.34366,-82.15676,3
3,02299950,27.47365,-82.2112,9
3,02300700,27.79197,-82.35204,9
3,02310947,28.31195,-82.05591,7
3,02312200,28.57277,-82.15536,7
3,02314500,30.68056,-82.56056,3
3,02315500,30.32578,-82.73818,5
3,02324400,30.09827,-83.47181,4
3,02327100,30.12937,-84.49435,1
3,02342933,32.01766,-85.29577,10
3,02349900,32.19556,-83.90222,5
3,02350900,31.76444,-84.25333,8
3,02361000,31.34295,-85.61049,6
3,02363000,31.59489,-85.783,8
3,02369800,31.02768,-86.70996,10
3,02371500,31.5735,-86.25162,7
3,02372250,31.59627,-86.40552,5
3,02374500,31.4185,-86.98664,1
3,02381600,34.57037,-84.46882,8
3,02384540,34.87202,-84.72133,8
3,02395120,34.24278,-84.88972,1
3,02408540,32.91679,-86.27025,2
3,02415000,33.06679,-85.87913,8
3,02422500,32.58291,-86.9036,9
3,02427250,31.99626,-87.06832,1
3,02430085,34.46667,-88.28361,4
3,02430615,34.3925,-88.355,4
3,02450250,34.28538,-87.39891,2
3,02464000,33.47928,-87.59723,9
3,02464146,33.41345,-87.51056,6
3,02464360,33.42484,-87.64251,6
3,02465493,32.99735,-87.62223,8
3,02469800,31.74432,-88.02251,4
3,02472000,31.70694,-89.40694,10
3,02472500,31.42583,-89.41472,6
3,02479155,31.02528,-89.01667,5
3,02479300,30.73611,-88.78111,10
3,02479560,30.80908,-88.45863,3
3,02481000,30.55861,-89.12194,2
3,02481510,30.48361,-89.27444,4
5,03010655,41.96173,-78.19807,9
5,03011800,41.76645,-78.71864,4
5,03015500,41.85256,-79.31727,10
5,03021350,42.01533,-79.78255,6
5,03026500,41.63117,-78.57669,8
5,03028000,41.57534,-78.69225,5
5,03049000,40.7159,-79.69949,6
5,03049800,40.52035,-79.93811,9
5,03050000,38.80927,-79.88173,3
5,03066000,39.12705,-79.46838,5
5,03069500,39.12288,-79.68117,6
5,03070500,39.61564,-79.70477,5
5,03076600,39.65614,-79.39411,1
5,03078000,39.70219,-79.13639,5
5,03140000,40.36285,-81.86236,5
5,03144000,40.13257,-82.14792,1
5,03159540,39.06369,-81.8818,6
5,03161000,36.39333,-81.40694,10
5,03164000,36.64735,-80.97897,7
5,03165000,36.64596,-80.91924,9
5,03170000,37.03763,-80.55672,9
5,03173000,37.26818,-80.70951,6
5,03180500,38.54373,-79.83312,4
5,03182500,38.18595,-80.13062,9
5,03186500,38.379,-80.48397,8
5,03187500,38.29539,-80.52648,3
5,03213700,37.67316,-82.28014,5
5,03237280,38.64369,-83.21574,10
5,03237500,38.80368,-83.42102,5
5,03238500,38.85813,-83.92854,2
5,03241500,39.72284,-83.88271,5
5,03280700,37.16509,-83.30796,6
5,03281100,37.15203,-83.7602,8
5,03281500,37.47981,-83.67519,3
5,03285000,37.64202,-84.66078,8
5,03291780,38.87811,-85.25718,10
5,03300400,37.83284,-85.29607,7
5,03338780,40.26531,-87.6428,10
5,03340800,39.81255,-86.9539,4
5,03346000,39.01004,-87.94559,1
5,03357350,39.76171,-86.72945,4
5,03364500,39.27477,-85.70165,4
5,03366500,38.80422,-85.67386,3
5,03368000,39.07033,-85.48608,4
5,03384450,37.47227,-88.54727,3
6,03439000,35.14333,-82.82472,3
6,03450000,35.65306,-82.40528,4
6,03455500,35.39611,-82.9375,2
6,03456500,35.46167,-82.86972,9
6,03460000,35.6675,-83.07361,3
6,03463300,35.83151,-82.18429,4
6,03471500,36.76039,-81.63123,3
6,03473000,36.65178,-81.84401,5
6,03479000,36.23917,-81.82222,9
6,03488000,36.89678,-81.74623,9
6,03498500,35.78562,-83.8846,1
6,03500000,35.15,-83.37972,3
6,03500240,35.15889,-83.39417,6
6,03504000,35.1275,-83.61861,7
6,03574500,34.62425,-86.30637,10
6,03592718,34.83556,-88.28806,3
6,03604000,35.49591,-87.8328,1
4,04015330,46.94688,-91.7924,5
4,04024430,46.63327,-92.09408,2
4,04027000,46.48661,-90.6963,8
4,04040500,46.58411,-88.57597,7
4,04043050,47.22854,-88.38539,3
4,04045500,46.57502,-85.26955,6
4,04056500,46.03053,-86.16125,10
4,04057510,45.94302,-86.7057,3
4,04057800,46.4991,-87.88652,6
4,04059500,45.75552,-87.20152,8
4,04063700,45.76357,-88.46318,3
4,04074950,45.18997,-88.73344,6
4,04105700,42.35337,-85.35389,9
4,04115265,43.24976,-84.98113,7
4,04122200,43.46418,-86.23257,1
4,04122500,43.94501,-86.27869,6
4,04124000,44.43639,-85.69868,5
4,04127918,46.18585,-84.59783,7
4,04127997,45.27446,-84.60003,9
4,04161580,42.80086,-83.09021,9
4,04185000,41.5045,-84.42967,9
4,04196800,40.92283,-83.34881,3
4,04197100,41.02228,-83.10964,9
4,04197170,41.11367,-83.16825,3
4,04213000,41.927,-80.60397,2
4,04213075,41.992,-80.29117,2
4,04216418,42.86395,-78.28363,1
4,04221000,42.12229,-77.95722,5
4,04224775,42.53562,-77.70416,6
4,04233000,42.39313,-76.54494,7
4,04256000,43.74729,-75.33435,3
1,04296000,44.86894,-72.2701,6
9,05056000,47.80555,-98.71622,10
9,05057000,47.43277,-98.0276,7
9,05057200,47.22916,-98.12482,8
9,05062500,47.26663,-96.24478,1
9,05087500,48.34109,-96.81812,3
9,05120500,48.13834,-100.53986,4
9,05123400,48.58889,-100.44208,10
9,05129115,48.26463,-92.56599,6
9,05131500,48.39578,-93.54933,8
7,05291000,45.29163,-96.48756,3
7,05362000,45.30803,-90.95652,2
7,05393500,45.44913,-89.97931,2
7,05399500,44.82191,-90.07958,7
7,05408000,43.57414,-90.64319,10
7,05412500,42.73999,-91.2618,7
7,05413500,42.72027,-90.81929,6
7,05414000,42.7311,-90.64041,3
7,05444000,41.90281,-89.69622,10
7,05454000,41.70002,-91.48767,7
7,05458000,43.03328,-92.50354,1
7,05466500,41.18698,-90.96737,9
7,05487980,41.24688,-93.26607,4
7,05488200,41.30055,-93.04548,10
7,05489000,41.219,-92.90853,6
7,05495000,40.39241,-91.59788,2
7,05495500,40.14282,-91.33737,10
7,05501000,39.81799,-91.5177,1
7,05503800,39.58483,-91.99349,2
7,05507600,39.43143,-91.67627,1
7,05508805,39.52046,-91.34275,9
7,05514500,39.0088,-90.97754,9
7,05525500,40.63004,-87.72392,10
7,05556500,41.36587,-89.49843,1
7,05584500,40.33032,-90.89624,1
7,05585000,40.02477,-90.63179,3
7,05591550,39.5067,-88.52756,10
7,05592050,39.40587,-88.89646,8
7,05592575,38.93699,-88.95284,3
7,05593575,38.44172,-89.41675,6
7,05593900,39.14894,-89.35231,5
7,05595730,38.25394,-89.03979,2
10,06037500,44.65687,-111.06827,2
10,06043500,45.49743,-111.27051,2
10,06154410,47.9661,-108.66071,4
10,06188000,44.92772,-110.39381,10
10,06191500,45.11188,-110.79438,4
10,06221400,43.34551,-109.41014,6
10,06224000,43.1769,-109.20291,9
