benchmark,benchmark_label,basins,train_period,test_period,arm,model,extent,protocol,epochs,seed,K,context_period,series,nse,kge,corr,bias_rel,rmse,fhv,flv,n_basins,n_days,tag
peijun_li,Peijun Li Ensemble,531,1980-10-01..1999-09-30,1995-10-01..1999-09-30,lstmD0.1H256,RegionalLSTM,PUB,peijun_li,50,0,,,model,0.663672,0.639003,0.859736,-0.024434,1.440169,-10.615194,-10.581514,531,1461,lstmD0.1H256_peijun_li_PUB_e50_s0
peijun_li,Peijun Li Ensemble,531,1980-10-01..1999-09-30,1995-10-01..1999-09-30,lstmD0.1H256,RegionalLSTM,PUR,peijun_li,50,0,,,model,0.503242,0.489752,0.806512,0.052871,1.756807,-9.76722,49.827015,531,1461,lstmD0.1H256_peijun_li_PUR_e50_s0
peijun_li,Peijun Li Ensemble,531,1980-10-01..1999-09-30,1995-10-01..1999-09-30,lstmD0.1H512,RegionalLSTM,PUB,peijun_li,50,0,,,model,0.661596,0.642451,0.859486,-0.033259,1.390202,-9.302466,-13.224038,531,1461,lstmD0.1H512_peijun_li_PUB_e50_s0
peijun_li,Peijun Li Ensemble,531,1980-10-01..1999-09-30,1995-10-01..1999-09-30,lstmD0.1H512,RegionalLSTM,PUR,peijun_li,50,0,,,model,0.542536,0.508763,0.815631,0.034677,1.728284,-11.028853,22.654032,531,1461,lstmD0.1H512_peijun_li_PUR_e50_s0
peijun_li,Peijun Li Ensemble,531,1980-10-01..1999-09-30,1995-10-01..1999-09-30,lstmD0.25H256,RegionalLSTM,PUB,peijun_li,50,0,,,model,0.667516,0.654499,0.864685,-0.020784,1.382029,-9.168143,-22.556157,531,1461,lstmD0.25H256_peijun_li_PUB_e50_s0
peijun_li,Peijun Li Ensemble,531,1980-10-01..1999-09-30,1995-10-01..1999-09-30,lstmD0.25H256,RegionalLSTM,PUR,peijun_li,50,0,,,model,0.504033,0.495475,0.804802,0.012236,1.677924,-17.150989,48.562712,531,1461,lstmD0.25H256_peijun_li_PUR_e50_s0
peijun_li,Peijun Li Ensemble,531,1980-10-01..1999-09-30,1995-10-01..1999-09-30,lstmD0.25H512,RegionalLSTM,PUB,peijun_li,50,0,,,model,0.659178,0.619392,0.868937,-0.062795,1.419283,-8.43862,-31.520409,531,1461,lstmD0.25H512_peijun_li_PUB_e50_s0
peijun_li,Peijun Li Ensemble,531,1980-10-01..1999-09-30,1995-10-01..1999-09-30,lstmD0.25H512,RegionalLSTM,PUR,peijun_li,50,0,,,model,0.514143,0.506066,0.811762,-0.001832,1.686443,-15.347823,16.764065,531,1461,lstmD0.25H512_peijun_li_PUR_e50_s0
peijun_li,Peijun Li Ensemble,531,1980-10-01..1999-09-30,1995-10-01..1999-09-30,lstmD0.5H256,RegionalLSTM,PUB,peijun_li,50,0,,,model,0.654409,0.632767,0.861526,0.015678,1.449571,-9.271467,16.315974,531,1461,lstmD0.5H256_peijun_li_PUB_e50_s0
peijun_li,Peijun Li Ensemble,531,1980-10-01..1999-09-30,1995-10-01..1999-09-30,lstmD0.5H256,RegionalLSTM,PUR,peijun_li,50,0,,,model,0.521701,0.515791,0.807683,0.018111,1.716401,-18.908501,64.820472,531,1461,lstmD0.5H256_peijun_li_PUR_e50_s0
